repo,file_path,lines_of_code,unique_authors_12m,dominant_author,dominant_author_share,bus_factor_single_dev,churn_12m,risk_score
spring-petclinic,src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,136,1,anizmo,1.0,True,136,5
RxJava,src/jmh/java/io/reactivex/rxjava3/core/BinaryFlatMapPerf.java,262,1,David Karnok,1.0,True,12,5
RxJava,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableConcatMapMaybePerf.java,85,1,David Karnok,1.0,True,4,5
RxJava,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableFlatMapMaybeEmptyPerf.java,85,1,David Karnok,1.0,True,4,5
RxJava,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableFlatMapMaybePerf.java,85,1,David Karnok,1.0,True,4,5
RxJava,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableFlatMapSinglePerf.java,85,1,David Karnok,1.0,True,4,5
RxJava,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableSwitchMapMaybeEmptyPerf.java,85,1,David Karnok,1.0,True,4,5
RxJava,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableSwitchMapMaybePerf.java,85,1,David Karnok,1.0,True,4,5
RxJava,src/jmh/java/io/reactivex/rxjava3/xmapz/FlowableSwitchMapSinglePerf.java,85,1,David Karnok,1.0,True,4,5
mybatis-3,src/test/java/org/apache/ibatis/type/SqlTimeTypeHandlerTest.java,79,1,Jeremy Landis,1.0,True,7,5
mybatis-3,src/test/java/org/apache/ibatis/type/MonthTypeHandlerTest.java,113,1,Jeremy Landis,1.0,True,2,5
mybatis-3,src/test/java/org/apache/ibatis/type/EnumTypeHandlerTest.java,95,1,Jeremy Landis,1.0,True,4,5
mybatis-3,src/test/java/org/apache/ibatis/type/EnumOrdinalTypeHandlerTest.java,94,1,Jeremy Landis,1.0,True,4,5
mybatis-3,src/test/java/org/apache/ibatis/type/DateOnlyTypeHandlerTest.java,96,1,Iwao AVE!,1.0,True,15,5
mybatis-3,src/test/java/org/apache/ibatis/type/ClobReaderTypeHandlerTest.java,179,1,Jeremy Landis,1.0,True,2,5
mybatis-3,src/test/java/org/apache/ibatis/type/CharacterTypeHandlerTest.java,111,1,Jeremy Landis,1.0,True,10,5
mybatis-3,src/test/java/org/apache/ibatis/type/BlobInputStreamTypeHandlerTest.java,181,1,Jeremy Landis,1.0,True,2,5
mybatis-3,src/test/java/org/apache/ibatis/type/ArrayTypeHandlerTest.java,123,1,Jeremy Landis,1.0,True,12,5
mybatis-3,src/test/java/org/apache/ibatis/transaction/managed/ManagedTransactionWithDataSourceTest.java,118,1,Jeremy Landis,1.0,True,137,5
mybatis-3,src/test/java/org/apache/ibatis/transaction/managed/ManagedTransactionWithConnectionTest.java,98,1,Jeremy Landis,1.0,True,105,5
mybatis-3,src/test/java/org/apache/ibatis/transaction/managed/ManagedTransactionFactoryUnitTest.java,102,1,Jeremy Landis,1.0,True,109,5
mybatis-3,src/test/java/org/apache/ibatis/transaction/jdbc/TestConnection.java,301,1,Jeremy Landis,1.0,True,2,5
mybatis-3,src/test/java/org/apache/ibatis/transaction/jdbc/JdbcTransactionWithDataSourceTest.java,182,1,Jeremy Landis,1.0,True,301,5
mybatis-3,src/test/java/org/apache/ibatis/transaction/jdbc/JdbcTransactionWithConnectionTest.java,131,1,Jeremy Landis,1.0,True,155,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionTodoCommentTest.java,86,1,github-actions[bot],1.0,True,2,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionOuterTypeFilenameTest.java,86,1,github-actions[bot],1.0,True,2,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionHexLiteralCaseTest.java,115,1,zyad,1.0,True,115,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionFinalParametersTest.java,190,1,github-actions[bot],1.0,True,2,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionDescendantTokenTest.java,128,1,Mostafahassen1,1.0,True,128,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionAvoidEscapedUnicodeCharactersTest.java,188,1,github-actions[bot],1.0,True,2,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionArrayTypeStyleTest.java,83,1,github-actions[bot],1.0,True,2,5
checkstyle,src/it/java/org/checkstyle/checks/imports/ImportOrderTest.java,88,1,github-actions[bot],1.0,True,2,5
checkstyle,src/it/java/com/sun/checkstyle/test/chapter6declarations/rule61numberperline/MultipleVariableDeclarationsTest.java,72,1,github-actions[bot],1.0,True,2,5
checkstyle,src/it/java/com/sun/checkstyle/test/chapter5comments/rule52documentationcomments/InvalidJavadocPositionTest.java,69,1,github-actions[bot],1.0,True,2,5
checkstyle,src/it/java/com/google/checkstyle/test/chapter7javadoc/rule713atclauses/BlockTagsTest.java,82,1,github-actions[bot],1.0,True,2,5
checkstyle,src/it/java/com/google/checkstyle/test/chapter7javadoc/rule712paragraphs/ParagraphsTest.java,75,1,github-actions[bot],1.0,True,2,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionAvoidDoubleBraceInitializationTest.java,99,1,SteLeo1602,1.0,True,8,5
